Date,TIME,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME
11-04-2016 00:00,14:30:00,1443,1444.5,1442,1444.5,67,2489
11-04-2016 00:00,14:35:00,1444.5,1447,1444.5,1445.2,137,9914
11-04-2016 00:00,14:40:00,1446.2,1447.4,1445,1446,80,4782
11-04-2016 00:00,14:45:00,1446,1446.5,1444.5,1445,75,4069
11-04-2016 00:00,14:50:00,1444.35,1447,1444.35,1447,122,8864
11-04-2016 00:00,14:55:00,1446.4,1449,1444.5,1447.5,122,7068
11-04-2016 00:00,15:00:00,1447.5,1449.25,1445.7,1447.9,150,4607
11-04-2016 00:00,15:05:00,1447.9,1449.75,1446.2,1446.55,148,5889
11-04-2016 00:00,15:10:00,1446.95,1448,1446.25,1447.85,141,5023
11-04-2016 00:00,15:15:00,1447.85,1450,1446,1446,195,11393
11-04-2016 00:00,15:20:00,1446.5,1446.95,1444,1445.25,153,8458
11-04-2016 00:00,15:25:00,1445.6,1448.8,1443.25,1446.5,149,8290
12-04-2016 00:00,09:15:00,1450.1,1452.5,1443,1447.3,188,7530
12-04-2016 00:00,09:20:00,1447.7,1448,1442,1443.15,119,2862
12-04-2016 00:00,09:25:00,1443.65,1446.8,1442.25,1444.05,55,1857
12-04-2016 00:00,09:30:00,1444.05,1446,1443,1444,84,2452
12-04-2016 00:00,09:35:00,1444,1444,1440.8,1442,65,3053
12-04-2016 00:00,09:40:00,1440.85,1443,1437.7,1441.25,88,5344
12-04-2016 00:00,09:45:00,1441.75,1441.75,1437.75,1440,68,4117
12-04-2016 00:00,09:50:00,1440,1441.5,1439,1439.9,80,2480
12-04-2016 00:00,09:55:00,1439.9,1440.4,1438.4,1439.95,61,1140
12-04-2016 00:00,10:00:00,1439.5,1440.75,1438.6,1439.3,44,751
12-04-2016 00:00,10:05:00,1439.05,1439.3,1436.05,1438,40,2209
12-04-2016 00:00,10:10:00,1438,1438.05,1434.2,1434.45,96,2559
12-04-2016 00:00,10:15:00,1435,1436.75,1433.85,1434.6,71,2773
